dish_id,calories,serving_size,protein,fat,carbs,ingredient_id_1,ingredient_name_1,amount_1,calories_1,fat_1,carb_1,protein_1,ingredient_id_2,ingredient_name_2,amount_2,calories_2,fat_2,carb_2,protein_2,ingredient_id_3,ingredient_name_3,amount_3,calories_3,fat_3,carb_3,protein_3,ingredient_id_4,ingredient_name_4,amount_4,calories_4,fat_4,carb_4,protein_4,ingredient_id_5,ingredient_name_5,amount_5,calories_5,fat_5,carb_5,protein_5,ingredient_id_6,ingredient_name_6,amount_6,calories_6,fat_6,carb_6,protein_6,ingredient_id_7,ingredient_name_7,amount_7,calories_7,fat_7,carb_7,protein_7,ingredient_id_8,ingredient_name_8,amount_8,calories_8,fat_8,carb_8,protein_8
dish_1573232499,0.0,474.0,0.0,0.0,0.0,ingr_0000000004,bacon,36.0,194.76,15.12,0.504,13.32,ingr_0000000008,scrambled eggs,269.0,398.12,29.59,4.304,26.9,ingr_0000000027,broccoli,45.853661,16.04878135,0.183414644,3.20975627,1.100487864,ingr_0000000161,olive oil,1.146341,10.13365444,1.146341,0.0,0.0,ingr_0000000194,fried rice,122.0,192.394,2.684,36.478,5.734,,,,,,,,,,,,,,,,,,,,,
dish_1574702473,0.0,161.0,0.0,0.0,0.0,ingr_0000000004,bacon,47.0,254.27,19.74,0.658,17.39,ingr_0000000015,hash browns,114.0,371.64,25.08,36.48,2.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1571935895,0.0,222.0,0.0,0.0,0.0,ingr_0000000059,oatmeal,222.0,150.96,3.108,26.64,5.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1571946018,0.0,97.0,0.0,0.0,0.0,ingr_0000000094,onions,10.047266,4.0189064,0.010047266,0.90425394,0.110519926,ingr_0000000161,olive oil,5.023633,44.40891572,5.023633,0.0,0.0,ingr_0000000243,mozzarella cheese,20.094532,55.782420832,3.436164972,0.643025024,5.62646896,ingr_0000000291,salt,0.088602,0.0,0.0,0.0,0.0,ingr_0000000335,eggplant,20.094532,4.983443936,0.040189064,1.185577388,0.20094532,ingr_0000000549,,26.580538,62.59716699,1.249285286,11.084084346,1.435349052,ingr_0000000551,,15.070898,4.37056042,0.030141796,1.05496286,0.195921674,,,,,,,
dish_1571932375,0.0,117.0,0.0,0.0,0.0,ingr_0000000039,sausage,45.0,155.07,12.285,1.89,8.685,ingr_0000000433,roasted potatoes,72.0,101.52,4.896,12.96,1.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572889151,0.0,174.0,0.0,0.0,0.0,ingr_0000000545,greek yogurt,174.0,102.66,0.696,6.264,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1573233271,0.0,122.0,0.0,0.0,0.0,ingr_0000000279,omelets,122.0,187.88,14.274,0.732,12.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572453701,0.0,85.0,0.0,0.0,0.0,ingr_0000000027,broccoli,45.853661,16.04878135,0.183414644,3.20975627,1.100487864,ingr_0000000039,sausage,38.0,130.948,10.374,1.596,7.334,ingr_0000000161,olive oil,1.146341,10.13365444,1.146341,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1573072410,0.0,139.0,0.0,0.0,0.0,ingr_0000000161,olive oil,4.198418,37.11401512,4.198418,0.0,0.0,ingr_0000000243,mozzarella cheese,16.793671,46.619230696,2.871717741,0.537397472,4.70222788,ingr_0000000456,barley,79.0,97.17,0.316,22.12,1.817,ingr_0000000521,basil,4.198418,1.00762032,0.0,0.08396836,0.16793672,ingr_0000000549,,22.214241,52.314537555,1.044069327,9.263338497,1.199569014,ingr_0000000551,,12.595253,3.65262337,0.025190506,0.88166771,0.163738289,,,,,,,,,,,,,,
dish_1572540876,0.0,65.0,0.0,0.0,0.0,ingr_0000000433,roasted potatoes,65.0,91.65,4.42,11.7,1.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572464738,0.0,188.0,0.0,0.0,0.0,ingr_0000000050,tofu,132.0,96.36,6.336,2.508,10.56,ingr_0000000442,hummus,56.0,92.96,5.376,7.84,4.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1571945939,0.0,97.0,0.0,0.0,0.0,ingr_0000000034,celery,5.397875,0.86366,0.01079575,0.18352775,0.037785125,ingr_0000000051,shrimp,43.182999,42.75116901,0.129548997,0.086365998,10.36391976,ingr_0000000116,mayonnaise,21.888382,148.8409976,16.4162865,0.131330292,0.21888382,ingr_0000000133,shallots,3.823494,0.7646988,0.007646988,0.126175302,0.05735241,ingr_0000000291,salt,0.031734,0.0,0.0,0.0,0.0,ingr_0000000314,sourdough bread,14.470749,41.805993861,0.260473482,8.132560938,1.722019131,ingr_0000000520,lemon juice,8.204769,1.39481073,0.0,0.459467064,0.032819076,,,,,,,
dish_1573243053,0.0,132.0,0.0,0.0,0.0,ingr_0000000371,dumplings,132.0,303.6,7.128,51.48,8.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1571931782,0.0,104.0,0.0,0.0,0.0,ingr_0000000008,scrambled eggs,70.0,103.6,7.7,1.12,7.0,ingr_0000000433,roasted potatoes,34.0,47.94,2.312,6.12,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572379407,0.0,124.0,0.0,0.0,0.0,ingr_0000000203,chili,124.0,49.6,0.496,11.036,2.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1575481406,0.0,27.0,0.0,0.0,0.0,ingr_0000000039,sausage,27.0,93.042,7.371,1.134,5.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1573491305,0.0,70.0,0.0,0.0,0.0,ingr_0000000128,egg whites,70.0,36.4,0.14,0.49,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1573763139,0.0,216.0,0.0,0.0,0.0,ingr_0000000027,broccoli,46.883709,16.40929815,0.187534836,3.28185963,1.125209016,ingr_0000000076,brisket,79.523811,123.420954672,5.725714392,0.0,16.70000031,ingr_0000000161,olive oil,0.87907,7.7709788,0.87907,0.0,0.0,ingr_0000000174,bread crumbs,0.646006,2.5517237,0.032946306,0.460602278,0.085272792,ingr_0000000254,mashed potatoes,79.523811,72.128096577,2.306190519,12.008095461,1.351904787,ingr_0000000291,salt,0.005168,0.0,0.0,0.0,0.0,ingr_0000000441,butter,7.952381,57.01857177,6.44142861,0.007952381,0.063619048,ingr_0000000448,jalapenos,0.586046,0.16995334,0.002344184,0.03809299,0.005274414
dish_1572988741,0.0,54.0,0.0,0.0,0.0,ingr_0000000052,cheese,3.979933,15.99933066,1.31337789,0.051739129,0.99498325,ingr_0000000060,tortilla,8.189308,17.85269144,0.237489932,3.6851886,0.49135848,ingr_0000000094,onions,8.001325,3.20053,0.008001325,0.72011925,0.088014575,ingr_0000000462,pork,25.206244,59.99086072,3.52887416,0.0,6.55362344,ingr_0000000475,salsa,8.623189,2.50072481,0.017246378,0.569130474,0.129347835,,,,,,,,,,,,,,,,,,,,,
dish_1573060410,0.0,152.0,0.0,0.0,0.0,ingr_0000000070,figs,36.118813,99.32673575,0.0,23.47722845,0.902970325,ingr_0000000294,granola,18.059406,84.752792358,3.684118824,11.684435682,1.8059406,ingr_0000000440,grapes,24.079208,16.61465352,0.048158416,4.33425744,0.168554456,ingr_0000000543,chia seeds,1.504951,7.31406186,0.46653481,0.63207942,0.25584167,ingr_0000000545,greek yogurt,72.237625,42.62019875,0.2889505,2.6005545,7.2237625,,,,,,,,,,,,,,,,,,,,,
dish_1573764136,0.0,211.0,0.0,0.0,0.0,ingr_0000000254,mashed potatoes,100.476189,91.131903423,2.913809481,15.171904539,1.708095213,ingr_0000000441,butter,10.047619,72.04142823,8.13857139,0.010047619,0.080380952,ingr_0000000517,chard,50.238094,9.54523786,0.100476188,1.858809478,0.904285692,ingr_0000000528,celery root,50.238094,21.09999948,0.150714282,4.621904648,0.75357141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572278943,0.0,96.0,0.0,0.0,0.0,ingr_0000000004,bacon,61.0,330.01,25.62,0.854,22.57,ingr_0000000008,scrambled eggs,35.0,51.8,3.85,0.56,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1573665056,0.0,277.0,0.0,0.0,0.0,ingr_0000000008,scrambled eggs,177.0,261.96,19.47,2.832,17.7,ingr_0000000039,sausage,100.0,344.6,27.3,4.2,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1573232461,0.0,352.0,0.0,0.0,0.0,ingr_0000000004,bacon,36.0,194.76,15.12,0.504,13.32,ingr_0000000008,scrambled eggs,269.0,398.12,29.59,4.304,26.9,ingr_0000000027,broccoli,45.853661,16.04878135,0.183414644,3.20975627,1.100487864,ingr_0000000161,olive oil,1.146341,10.13365444,1.146341,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1575999037,0.0,156.0,0.0,0.0,0.0,ingr_0000000008,scrambled eggs,130.0,192.4,14.3,2.08,13.0,ingr_0000000475,salsa,26.0,7.54,0.052,1.716,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1571946265,0.0,86.0,0.0,0.0,0.0,ingr_0000000094,onions,8.907885,3.563154,0.008907885,0.80170965,0.097986735,ingr_0000000161,olive oil,4.453942,39.37284728,4.453942,0.0,0.0,ingr_0000000243,mozzarella cheese,17.815769,49.456574744,3.046496499,0.570104608,4.98841532,ingr_0000000291,salt,0.078554,0.0,0.0,0.0,0.0,ingr_0000000335,eggplant,17.815769,4.418310712,0.035631538,1.051130371,0.17815769,ingr_0000000549,,23.56625,55.49851875,1.10761375,9.82712625,1.2725775,ingr_0000000551,,13.361828,3.87493012,0.026723656,0.93532796,0.173703764,,,,,,,
dish_1572035321,0.0,104.0,0.0,0.0,0.0,ingr_0000000026,white rice,51.0,66.3,0.153,14.28,1.377,ingr_0000000161,olive oil,3.708602,32.78404168,3.708602,0.0,0.0,ingr_0000000243,mozzarella cheese,14.834409,41.180319384,2.536683939,0.474701088,4.15363452,ingr_0000000521,basil,3.708602,0.89006448,0.0,0.07417204,0.14834408,ingr_0000000549,,19.62258,46.2111759,0.92226126,8.18261586,1.05961932,ingr_0000000551,,11.125807,3.22648403,0.022251614,0.77880649,0.144635491,,,,,,,,,,,,,,
dish_1573763118,0.0,167.0,0.0,0.0,0.0,ingr_0000000076,brisket,79.523811,123.420954672,5.725714392,0.0,16.70000031,ingr_0000000254,mashed potatoes,79.523811,72.128096577,2.306190519,12.008095461,1.351904787,ingr_0000000441,butter,7.952381,57.01857177,6.44142861,0.007952381,0.063619048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572453753,0.0,317.0,0.0,0.0,0.0,ingr_0000000008,scrambled eggs,130.833328,193.63332544,14.39166608,2.093333248,13.0833328,ingr_0000000015,hash browns,75.0,244.5,16.5,24.0,1.95,ingr_0000000027,broccoli,45.853661,16.04878135,0.183414644,3.20975627,1.100487864,ingr_0000000039,sausage,38.0,130.948,10.374,1.596,7.334,ingr_0000000161,olive oil,1.146341,10.13365444,1.146341,0.0,0.0,ingr_0000000475,salsa,26.166668,7.58833372,0.052333336,1.727000088,0.39250002,,,,,,,,,,,,,,
dish_1574184971,0.0,50.0,0.0,0.0,0.0,ingr_0000000510,chicken apple sausage,50.0,80.0,5.0,1.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1576259776,0.0,203.0,0.0,0.0,0.0,ingr_0000000015,hash browns,29.0,94.54,6.38,9.28,0.754,ingr_0000000279,omelets,174.0,267.96,20.358,1.044,18.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1574280343,0.0,71.0,0.0,0.0,0.0,ingr_0000000031,cucumbers,71.0,7.1,0.0,1.42,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1573665025,0.0,177.0,0.0,0.0,0.0,ingr_0000000008,scrambled eggs,177.0,261.96,19.47,2.832,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572538461,0.0,167.0,0.0,0.0,0.0,ingr_0000000008,scrambled eggs,167.0,247.16,18.37,2.672,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1574359130,0.0,111.0,0.0,0.0,0.0,ingr_0000000008,scrambled eggs,111.0,164.28,12.21,1.776,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1571934124,0.0,98.0,0.0,0.0,0.0,ingr_0000000433,roasted potatoes,98.0,138.18,6.664,17.64,2.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572031211,0.0,80.0,0.0,0.0,0.0,ingr_0000000161,olive oil,5.59789,49.4853476,5.59789,0.0,0.0,ingr_0000000243,mozzarella cheese,22.39156,62.15897056,3.82895676,0.71652992,6.2696368,ingr_0000000521,basil,5.59789,1.3434936,0.0,0.1119578,0.2239156,ingr_0000000549,,29.618988,69.75271674,1.392092436,12.351117996,1.599425352,ingr_0000000551,,16.793671,4.87016459,0.033587342,1.17555697,0.218317723,,,,,,,,,,,,,,,,,,,,,
dish_1574444158,0.0,162.0,0.0,0.0,0.0,ingr_0000000008,scrambled eggs,135.0,199.8,14.85,2.16,13.5,ingr_0000000475,salsa,27.0,7.83,0.054,1.782,0.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1574197731,0.0,145.0,0.0,0.0,0.0,ingr_0000000005,potatoes,56.143372,43.23039644,0.056143372,9.54437324,1.12286744,ingr_0000000010,steak,70.179214,190.18566994,13.33405066,0.0,17.5448035,ingr_0000000122,garlic,3.094376,4.61062024,0.01547188,1.02114408,0.198040064,ingr_0000000291,salt,0.309438,0.0,0.0,0.0,0.0,ingr_0000000475,salsa,14.035843,4.07039447,0.028071686,0.926365638,0.210537645,ingr_0000000555,,1.237751,10.971424864,1.237751,0.0,0.0,,,,,,,,,,,,,,
dish_1572278972,0.0,181.0,0.0,0.0,0.0,ingr_0000000004,bacon,61.0,330.01,25.62,0.854,22.57,ingr_0000000008,scrambled eggs,35.0,51.8,3.85,0.56,3.5,ingr_0000000511,spinach (cooked),85.0,19.55,0.0,3.4,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572376802,0.0,150.0,0.0,0.0,0.0,ingr_0000000031,cucumbers,60.0,6.0,0.0,1.2,0.6,ingr_0000000290,cheddar cheese,30.0,120.57,9.9,0.39,7.44,ingr_0000000442,hummus,60.0,99.6,5.76,8.4,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1573505208,0.0,192.0,0.0,0.0,0.0,ingr_0000000168,lasagna,192.0,259.2,9.6,29.568,13.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1575997268,0.0,136.0,0.0,0.0,0.0,ingr_0000000008,scrambled eggs,71.666664,106.06666272,7.88333304,1.146666624,7.1666664,ingr_0000000013,berries,47.0,26.79,0.141,6.58,0.329,ingr_0000000440,grapes,3.0,2.07,0.006,0.54,0.021,ingr_0000000475,salsa,14.333334,4.15666686,0.028666668,0.946000044,0.21500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572279989,0.0,243.0,0.0,0.0,0.0,ingr_0000000002,strawberries,243.0,80.19,0.729,19.44,1.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572021459,0.0,108.0,0.0,0.0,0.0,ingr_0000000279,omelets,108.0,166.32,12.636,0.648,11.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572627130,0.0,231.0,0.0,0.0,0.0,ingr_0000000008,scrambled eggs,192.5,284.9,21.175,3.08,19.25,ingr_0000000475,salsa,38.5,11.165,0.077,2.541,0.5775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1573159868,0.0,66.0,0.0,0.0,0.0,ingr_0000000161,olive oil,4.618259,40.82540956,4.618259,0.0,0.0,ingr_0000000243,mozzarella cheese,18.473038,51.281153488,3.158889498,0.591137216,5.17245064,ingr_0000000521,basil,4.618259,1.10838216,0.0,0.09236518,0.18473036,ingr_0000000549,,24.435665,57.545991075,1.148476255,10.189672305,1.31952591,ingr_0000000551,,13.854778,4.01788562,0.027709556,0.96983446,0.180112114,,,,,,,,,,,,,,,,,,,,,
dish_1573491352,0.0,164.0,0.0,0.0,0.0,ingr_0000000002,strawberries,53.0,17.49,0.159,4.24,0.371,ingr_0000000015,hash browns,41.0,133.66,9.02,13.12,1.066,ingr_0000000128,egg whites,70.0,36.4,0.14,0.49,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572453675,0.0,38.0,0.0,0.0,0.0,ingr_0000000039,sausage,38.0,130.948,10.374,1.596,7.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572376778,0.0,120.0,0.0,0.0,0.0,ingr_0000000031,cucumbers,60.0,6.0,0.0,1.2,0.6,ingr_0000000442,hummus,60.0,99.6,5.76,8.4,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1571944487,0.0,130.0,0.0,0.0,0.0,ingr_0000000018,turkey,130.0,245.7,9.1,0.13,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1573232835,0.0,27.0,0.0,0.0,0.0,ingr_0000000004,bacon,27.0,146.07,11.34,0.378,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572627152,0.0,276.0,0.0,0.0,0.0,ingr_0000000008,scrambled eggs,192.5,284.9,21.175,3.08,19.25,ingr_0000000475,salsa,38.5,11.165,0.077,2.541,0.5775,ingr_0000000485,zucchini,45.0,6.75,0.18,1.215,0.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1575997241,0.0,50.0,0.0,0.0,0.0,ingr_0000000013,berries,47.0,26.79,0.141,6.58,0.329,ingr_0000000440,grapes,3.0,2.07,0.006,0.54,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1572029300,0.0,40.0,0.0,0.0,0.0,ingr_0000000161,olive oil,2.798945,24.7426738,2.798945,0.0,0.0,ingr_0000000243,mozzarella cheese,11.19578,31.07948528,1.91447838,0.35826496,3.1348184,ingr_0000000521,basil,2.798945,0.6717468,0.0,0.0559789,0.1119578,ingr_0000000549,,14.809494,34.87635837,0.696046218,6.175558998,0.799712676,ingr_0000000551,,8.396835,2.43508215,0.01679367,0.58777845,0.109158855,,,,,,,,,,,,,,,,,,,,,
dish_1575308389,0.0,146.0,0.0,0.0,0.0,ingr_0000000279,omelets,146.0,224.84,17.082,0.876,15.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1574369148,0.0,68.0,0.0,0.0,0.0,ingr_0000000371,dumplings,68.0,156.4,3.672,26.52,4.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1573849915,0.0,239.0,0.0,0.0,0.0,ingr_0000000371,dumplings,182.0,418.6,9.828,70.98,11.284,ingr_0000000511,spinach (cooked),57.0,13.11,0.0,2.28,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1571946737,0.0,145.0,0.0,0.0,0.0,ingr_0000000034,celery,2.244267,0.35908272,0.004488534,0.076305078,0.015709869,ingr_0000000045,carrot,2.244267,0.92014947,0.004488534,0.2244267,0.020198403,ingr_0000000094,onions,2.244267,0.8977068,0.002244267,0.20198403,0.024686937,ingr_0000000159,apple cider,17.954138,8.294811756,0.017954138,2.028817594,0.017954138,ingr_0000000189,vinegar,1.137563,0.0,0.0,0.0,0.0,ingr_0000000252,broth,6.873069,18.14490216,1.010341143,1.271517765,1.134056385,ingr_0000000291,salt,0.08906,0.0,0.0,0.0,0.0,ingr_0000000462,pork,112.213371,267.06782298,15.70987194,0.0,29.17547646
dish_1573234760,0.0,21.0,0.0,0.0,0.0,ingr_0000000004,bacon,21.0,113.61,8.82,0.294,7.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1574455444,0.0,147.0,0.0,0.0,0.0,ingr_0000000034,celery,2.275223,0.36403568,0.004550446,0.077357582,0.015926561,ingr_0000000045,carrot,2.275223,0.93284143,0.004550446,0.2275223,0.020477007,ingr_0000000094,onions,2.275223,0.9100892,0.002275223,0.20477007,0.025027453,ingr_0000000159,apple cider,18.201782,8.409223284,0.018201782,2.056801366,0.018201782,ingr_0000000189,vinegar,1.153254,0.0,0.0,0.0,0.0,ingr_0000000252,broth,6.96787,18.3951768,1.02427689,1.28905595,1.14969855,ingr_0000000291,salt,0.090288,0.0,0.0,0.0,0.0,ingr_0000000462,pork,113.761139,270.75151082,15.92655946,0.0,29.57789614
dish_1571944214,0.0,225.0,0.0,0.0,0.0,ingr_0000000034,celery,3.482484,0.55719744,0.006964968,0.118404456,0.024377388,ingr_0000000045,carrot,3.482484,1.42781844,0.006964968,0.3482484,0.031342356,ingr_0000000094,onions,3.482484,1.3929936,0.003482484,0.31342356,0.038307324,ingr_0000000159,apple cider,27.859871,12.871260402,0.027859871,3.148165423,0.027859871,ingr_0000000189,vinegar,1.765184,0.0,0.0,0.0,0.0,ingr_0000000252,broth,10.665107,28.15588248,1.567770729,1.973044795,1.759742655,ingr_0000000291,salt,0.138196,0.0,0.0,0.0,0.0,ingr_0000000462,pork,174.124191,414.41557458,24.37738674,0.0,45.27228966
